code,desc
A5,Chlamydial lymphogranuloma (venereum)
A5,Chlamydial infection of lower genitourinary tract
A5,Chlamydial infection of pelviperitoneum and other genitourinary organs
A5,"Chlamydial infection of genitourinary tract, unspecified"
A5,Chlamydial infection of anus and rectum
A5,Chlamydial infection of pharynx
A5,Sexually transmitted chlamydial infection of other sites
A5,Chancroid
A5,Granuloma inguinale
A5,Urogenital trichomoniasis
A5,Trichomoniasis of other sites
A5,"Trichomoniasis, unspecified"
A6,Herpesviral infection of genitalia and urogenital tract
A6,Herpesviral infection of perianal skin and rectum
A6,"Anogenital herpesviral infection, unspecified"
A6,Anogenital (venereal) warts
A6,Other specified predominantly sexually transmitted diseases
A6,Unspecified sexually transmitted disease
A6,Nonvenereal syphilis
A6,Initial lesions of yaws
A6,Multiple papillomata and wet crab yaws
A6,Other early skin lesions of yaws
A6,Hyperkeratosis of yaws
A6,Gummata and ulcers of yaws
A6,Gangosa
A6,Bone and joint lesions of yaws
A6,Other manifestations of yaws
A6,Latent yaws
A6,"Yaws, unspecified"
A6,Primary lesions of pinta
A6,Intermediate lesions of pinta
A6,Late lesions of pinta
A6,Mixed lesions of pinta
A6,"Pinta, unspecified"
A6,Louse-borne relapsing fever
A6,Tick-borne relapsing fever
A6,"Relapsing fever, unspecified"
A6,Necrotizing ulcerative stomatitis
A6,Other Vincent infections
A6,Lyme disease
A6,Other specified spirochaetal infections
A6,"Spirochaetal infection, unspecified"
A7,Chlamydia psittaci infection
A7,Initial stage of trachoma
A7,Active stage of trachoma
A7,"Trachoma, unspecified"
A7,Chlamydial conjunctivitis
A7,Other chlamydial diseases
A7,"Chlamydial infection, unspecified"
A7,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A7,Recrudescent typhus [Brill disease]
A7,Typhus fever due to Rickettsia typhi
A7,Typhus fever due to Rickettsia tsutsugamushi
A7,"Typhus fever, unspecified"
A7,Spotted fever due to Rickettsia rickettsii
A7,Spotted fever due to Rickettsia conorii
A7,Spotted fever due to Rickettsia sibirica
A7,Spotted fever due to Rickettsia australis
A7,Other spotted fevers
A7,"Spotted fever, unspecified"
A7,Q fever
A7,Trench fever
A7,Rickettsialpox due to Rickettsia akari
A7,Other specified rickettsioses
A7,"Rickettsiosis, unspecified"
A8,"Acute paralytic poliomyelitis, vaccine-associated"
A8,"Acute paralytic poliomyelitis, wild virus, imported"
A8,"Acute paralytic poliomyelitis, wild virus, indigenous"
A8,"Acute paralytic poliomyelitis, other and unspecified"
A8,Acute nonparalytic poliomyelitis
A8,"Acute poliomyelitis, unspecified"
A8,Creutzfeldt-Jakob disease
A8,Subacute sclerosing panencephalitis
A8,Progressive multifocal leukoencephalopathy
A8,Other atypical virus infections of central nervous system
A8,"Atypical virus infection of central nervous system, unspecified"
A8,Sylvatic rabies
A8,Urban rabies
A8,"Rabies, unspecified"
A8,Japanese encephalitis
A8,Western equine encephalitis
A8,Eastern equine encephalitis
A8,St Louis encephalitis
A8,Australian encephalitis
A8,California encephalitis
A8,Rocio virus disease
A8,Other mosquito-borne viral encephalitis
A8,"Mosquito-borne viral encephalitis, unspecified"
A8,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A8,Central European tick-borne encephalitis
A8,Other tick-borne viral encephalitis
A8,"Tick-borne viral encephalitis, unspecified"
A8,Enteroviral encephalitis
A8,Adenoviral encephalitis
A8,"Arthropod-borne viral encephalitis, unspecified"
A8,Other specified viral encephalitis
A8,Unspecified viral encephalitis
A8,Enteroviral meningitis
A8,Adenoviral meningitis
A8,Lymphocytic choriomeningitis
A8,Other viral meningitis
A8,"Viral meningitis, unspecified"
A8,Enteroviral exanthematous fever [Boston exanthem]
A8,Epidemic vertigo
A8,Other specified viral infections of central nervous system
A8,Unspecified viral infection of central nervous system
A9,Chikungunya virus disease
A9,O'nyong-nyong fever
A9,Venezuelan equine fever
A9,West Nile virus infection
A9,Rift Valley fever
A9,Other specified mosquito-borne viral fevers
A9,"Mosquito-borne viral fever, unspecified"
A9,Oropouche virus disease
A9,Sandfly fever
A9,Colorado tick fever
A9,Other specified arthropod-borne viral fevers
A9,Unspecified arthropod-borne viral fever
A9,Sylvatic yellow fever
A9,Urban yellow fever
A9,"Yellow fever, unspecified"
A9,Junin haemorrhagic fever
A9,Machupo haemorrhagic fever
A9,Lassa fever
A9,Other arenaviral haemorrhagic fevers
A9,"Arenaviral haemorrhagic fever, unspecified"
A9,Dengue without warning signs
A9,Dengue with warning signs
A9,Severe Dengue
A9,"Dengue, unspecified"
A9,Crimean-Congo haemorrhagic fever
A9,Omsk haemorrhagic fever
A9,Kyasanur Forest disease
A9,Marburg virus disease
A9,Ebola virus disease
A9,Haemorrhagic fever with renal syndrome
A9,Other specified viral haemorrhagic fevers
A9,Unspecified viral haemorrhagic fever
B0,Eczema herpeticum
B0,Herpesviral vesicular dermatitis
B0,Herpesviral gingivostomatitis and pharyngotonsillitis
B0,Herpesviral meningitis
B0,Herpesviral encephalitis
B0,Herpesviral ocular disease
B0,Disseminated herpesviral disease
B0,Other forms of herpesviral infection
B0,"Herpesviral infection, unspecified"
B0,Varicella meningitis
B0,Varicella encephalitis
B0,Varicella pneumonia
B0,Varicella with other complications
B0,Varicella without complication
B0,Zoster encephalitis
B0,Zoster meningitis
B0,Zoster with other nervous system involvement
B0,Zoster ocular disease
B0,Disseminated zoster
B0,Zoster with other complications
B0,Zoster without complication
B0,Smallpox
B0,Monkeypox
B0,Measles complicated by encephalitis
B0,Measles complicated by meningitis
B0,Measles complicated by pneumonia
B0,Measles complicated by otitis media
B0,Measles with intestinal complications
B0,Measles with other complications
B0,Measles without complication
B0,Rubella with neurological complications
B0,Rubella with other complications
B0,Rubella without complication
B0,Viral warts
B0,Other orthopoxvirus infections
B0,Molluscum contagiosum
B0,Exanthema subitum [sixth disease]
B0,Erythema infectiosum [fifth disease]
B0,Enteroviral vesicular stomatitis with exanthem
B0,Enteroviral vesicular pharyngitis
B0,Other specified viral infections characterized by skin and mucous membrane lesions
B0,Unspecified viral infection characterized by skin and mucous membrane lesions
B1,Hepatitis A with hepatic coma
B1,Hepatitis A without hepatic coma
B1,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
B1,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
B1,Acute hepatitis B without delta-agent with hepatic coma
B1,Acute hepatitis B without delta-agent and without hepatic coma
B1,Acute delta-(super)infection of hepatitis B carrier
B1,Acute hepatitis C
B1,Acute hepatitis E
B1,Other specified acute viral hepatitis
B1,"Acute viral hepatitis, unspecified"
B1,Chronic viral hepatitis B with delta-agent
B1,Chronic viral hepatitis B without delta-agent
B1,Chronic viral hepatitis C
B1,Other chronic viral hepatitis
B1,"Chronic viral hepatitis, unspecified"
B1,Unspecified viral hepatitis with hepatic coma
B1,Unspecified viral hepatitis without hepatic coma
B2,HIV disease resulting in mycobacterial infection
B2,HIV disease resulting in other bacterial infections
B2,HIV disease resulting in cytomegaloviral disease
B2,HIV disease resulting in other viral infections
B2,HIV disease resulting in candidiasis
B2,HIV disease resulting in other mycoses
B2,HIV disease resulting in Pneumocystis jirovecii pneumonia
B2,HIV disease resulting in multiple infections
B2,HIV disease resulting in other infectious and parasitic diseases
B2,HIV disease resulting in unspecified infectious or parasitic disease
B2,HIV disease resulting in Kaposi sarcoma
B2,HIV disease resulting in Burkitt lymphoma
B2,HIV disease resulting in other types of non-Hodgkin lymphoma
B2,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
B2,HIV disease resulting in multiple malignant neoplasms
B2,HIV disease resulting in other malignant neoplasms
B2,HIV disease resulting in unspecified malignant neoplasm
B2,HIV disease resulting in encephalopathy
B2,HIV disease resulting in lymphoid interstitial pneumonitis
B2,HIV disease resulting in wasting syndrome
B2,HIV disease resulting in multiple diseases classified elsewhere
B2,Acute HIV infection syndrome
B2,HIV disease resulting in (persistent) generalized lymphadenopathy
B2,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
B2,HIV disease resulting in other specified conditions
B2,Unspecified human immunodeficiency virus [HIV] disease
B2,Cytomegaloviral pneumonitis
B2,Cytomegaloviral hepatitis
B2,Cytomegaloviral pancreatitis
B2,Other cytomegaloviral diseases
B2,"Cytomegaloviral disease, unspecified"
B2,Mumps orchitis
B2,Mumps meningitis
B2,Mumps encephalitis
B2,Mumps pancreatitis
B2,Mumps with other complications
B2,Mumps without complication
B2,Gammaherpesviral mononucleosis
B2,Cytomegaloviral mononucleosis
B2,Other infectious mononucleosis
B2,"Infectious mononucleosis, unspecified"
B3,Keratoconjunctivitis due to adenovirus
B3,Conjunctivitis due to adenovirus
B3,Viral pharyngoconjunctivitis
B3,Acute epidemic haemorrhagic conjunctivitis (enteroviral)
B3,Other viral conjunctivitis
B3,"Viral conjunctivitis, unspecified"
B3,Epidemic myalgia
B3,Ross River disease
B3,Viral carditis
B3,"Retrovirus infections, not elsewhere classified"
B3,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]
B3,Other specified viral diseases
B3,"Adenovirus infection, unspecified site"
B3,"Enterovirus infection, unspecified site"
B3,"Coronavirus infection, unspecified site"
B3,"Parvovirus infection, unspecified site"
B3,"Papovavirus infection, unspecified site"
B3,Other viral infections of unspecified site
B3,"Viral infection, unspecified"
B3,Tinea barbae and tinea capitis
B3,Tinea unguium
B3,Tinea manuum
B3,Tinea pedis
B3,Tinea corporis
B3,Tinea imbricata
B3,Tinea inguinalis [Tinea cruris]
B3,Other dermatophytoses
B3,"Dermatophytosis, unspecified"
B3,Pityriasis versicolor
B3,Tinea nigra
B3,White piedra
B3,Black piedra
B3,Other specified superficial mycoses
B3,"Superficial mycosis, unspecified"
B3,Candidal stomatitis
B3,Pulmonary candidiasis
B3,Candidiasis of skin and nail
B3,Candidiasis of vulva and vagina
B3,Candidiasis of other urogenital sites
B3,Candidal meningitis
B3,Candidal endocarditis
B3,Candidal sepsis
B3,Candidiasis of other sites
B3,"Candidiasis, unspecified"
B3,Acute pulmonary coccidioidomycosis
B3,Chronic pulmonary coccidioidomycosis
B3,"Pulmonary coccidioidomycosis, unspecified"
B3,Cutaneous coccidioidomycosis
B3,Coccidioidomycosis meningitis
B3,Disseminated coccidioidomycosis
B3,Other forms of coccidioidomycosis
B3,"Coccidioidomycosis, unspecified"
B3,Acute pulmonary histoplasmosis capsulati
B3,Chronic pulmonary histoplasmosis capsulati
B3,"Pulmonary histoplasmosis capsulati, unspecified"
B3,Disseminated histoplasmosis capsulati
B3,"Histoplasmosis capsulati, unspecified"
B3,Histoplasmosis duboisii
B3,"Histoplasmosis, unspecified"
B4,Acute pulmonary blastomycosis
B4,Chronic pulmonary blastomycosis
B4,"Pulmonary blastomycosis, unspecified"
B4,Cutaneous blastomycosis
B4,Disseminated blastomycosis
B4,Other forms of blastomycosis
B4,"Blastomycosis, unspecified"
B4,Pulmonary paracoccidioidomycosis
B4,Disseminated paracoccidioidomycosis
B4,Other forms of paracoccidioidomycosis
B4,"Paracoccidioidomycosis, unspecified"
B4,Pulmonary sporotrichosis
B4,Lymphocutaneous sporotrichosis
B4,Disseminated sporotrichosis
B4,Other forms of sporotrichosis
B4,"Sporotrichosis, unspecified"
B4,Cutaneous chromomycosis
B4,Phaeomycotic brain abscess
B4,Subcutaneous phaeomycotic abscess and cyst
B4,Other forms of chromomycosis
B4,"Chromomycosis, unspecified"
B4,Invasive pulmonary aspergillosis
B4,Other pulmonary aspergillosis
B4,Tonsillar aspergillosis
B4,Disseminated aspergillosis
B4,Other forms of aspergillosis
B4,"Aspergillosis, unspecified"
B4,Pulmonary cryptococcosis
B4,Cerebral cryptococcosis
B4,Cutaneous cryptococcosis
B4,Osseous cryptococcosis
B4,Disseminated cryptococcosis
B4,Other forms of cryptococcosis
B4,"Cryptococcosis, unspecified"
B4,Pulmonary mucormycosis
B4,Rhinocerebral mucormycosis
B4,Gastrointestinal mucormycosis
B4,Cutaneous mucormycosis
B4,Disseminated mucormycosis
B4,"Mucormycosis, unspecified"
B4,Other zygomycoses
B4,"Zygomycosis, unspecified"
B4,Eumycetoma
B4,Actinomycetoma
B4,"Mycetoma, unspecified"
B4,Lobomycosis
B4,Rhinosporidiosis
B4,Allescheriasis
B4,Geotrichosis
B4,Penicillosis
B4,Opportunistic mycoses
B4,Other specified mycoses
B4,Unspecified mycosis
B5,Plasmodium falciparum malaria with cerebral complications
B5,Other severe and complicated Plasmodium falciparum malaria
B5,"Plasmodium falciparum malaria, unspecified"
B5,Plasmodium vivax malaria with rupture of spleen
B5,Plasmodium vivax malaria with other complications
B5,Plasmodium vivax malaria without complication
B5,Plasmodium malariae malaria with nephropathy
B5,Plasmodium malariae malaria with other complications
B5,Plasmodium malariae malaria without complication
B5,Plasmodium ovale malaria
B5,Malaria due to simian plasmodia
B5,"Other parasitologically confirmed malaria, not elsewhere classified"
B5,Unspecified malaria
B5,Visceral leishmaniasis
B5,Cutaneous leishmaniasis
B5,Mucocutaneous leishmaniasis
B5,"Leishmaniasis, unspecified"
B5,Gambiense trypanosomiasis
B5,Rhodesiense trypanosomiasis
B5,"African trypanosomiasis, unspecified"
B5,Acute Chagas disease with heart involvement
B5,Acute Chagas disease without heart involvement
B5,Chagas disease (chronic) with heart involvement
B5,Chagas disease (chronic) with digestive system involvement
B5,Chagas disease (chronic) with nervous system involvement
B5,Chagas disease (chronic) with other organ involvement
B5,Toxoplasma oculopathy
B5,Toxoplasma hepatitis
B5,Toxoplasma meningoencephalitis
B5,Pulmonary toxoplasmosis
B5,Toxoplasmosis with other organ involvement
B5,"Toxoplasmosis, unspecified"
B5,Pneumocystosis
B6,Babesiosis
B6,Acanthamoebiasis
B6,Naegleriasis
B6,Other specified protozoal diseases
B6,Unspecified protozoal disease
B6,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B6,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
B6,Schistosomiasis due to Schistosoma japonicum
B6,Cercarial dermatitis
B6,Other schistosomiases
B6,"Schistosomiasis, unspecified"
B6,Opisthorchiasis
B6,Clonorchiasis
B6,Dicrocoeliasis
B6,Fascioliasis
B6,Paragonimiasis
B6,Fasciolopsiasis
B6,Other specified fluke infections
B6,"Fluke infection, unspecified"
B6,Echinococcus granulosus infection of liver
B6,Echinococcus granulosus infection of lung
B6,Echinococcus granulosus infection of bone
B6,"Echinococcus granulosus infection, other and multiple sites"
B6,"Echinococcus granulosus infection, unspecified"
B6,Echinococcus multilocularis infection of liver
B6,"Echinococcus multilocularis infection, other and multiple sites"
B6,"Echinococcus multilocularis infection, unspecified"
B6,"Echinococcosis, unspecified, of liver"
B6,"Echinococcosis, other and unspecified"
B6,Taenia solium taeniasis
B6,Taenia saginata taeniasis
B6,"Taeniasis, unspecified"
B6,Cysticercosis of central nervous system
B6,Cysticercosis of eye
B6,Cysticercosis of other sites
B6,"Cysticercosis, unspecified"
B7,Diphyllobothriasis
B7,Sparganosis
B7,Hymenolepiasis
B7,Dipylidiasis
B7,Other specified cestode infections
B7,"Cestode infection, unspecified"
B7,Dracunculiasis
B7,Onchocerciasis
B7,Filariasis due to Wuchereria bancrofti
B7,Filariasis due to Brugia malayi
B7,Filariasis due to Brugia timori
B7,Loiasis
B7,Mansonelliasis
B7,Other filariases
B7,"Filariasis, unspecified"
B7,Trichinellosis
B7,Ancylostomiasis
B7,Necatoriasis
B7,Other hookworm diseases
B7,"Hookworm disease, unspecified"
B7,Ascariasis with intestinal complications
B7,Ascariasis with other complications
B7,"Ascariasis, unspecified"
B7,Intestinal strongyloidiasis
B7,Cutaneous strongyloidiasis
B7,Disseminated strongyloidiasis
B7,"Strongyloidiasis, unspecified"
B7,Trichuriasis
B8,Enterobiasis
B8,Anisakiasis
B8,Intestinal capillariasis
B8,Trichostrongyliasis
B8,Intestinal angiostrongyliasis
B8,Mixed intestinal helminthiases
B8,Other specified intestinal helminthiases
B8,"Intestinal helminthiasis, unspecified"
B8,"Intestinal parasitism, unspecified"
B8,Visceral larva migrans
B8,Gnathostomiasis
B8,Angiostrongyliasis due to Parastrongylus cantonensis
B8,Syngamiasis
B8,Internal hirudiniasis
B8,Other specified helminthiases
B8,"Helminthiasis, unspecified"
B8,Pediculosis due to Pediculus humanus capitis
B8,Pediculosis due to Pediculus humanus corporis
B8,"Pediculosis, unspecified"
B8,Phthiriasis
B8,Mixed pediculosis and phthiriasis
B8,Scabies
B8,Cutaneous myiasis
B8,Wound myiasis
B8,Ocular myiasis
B8,Nasopharyngeal myiasis
B8,Aural myiasis
B8,Myiasis of other sites
B8,"Myiasis, unspecified"
B8,Other acariasis
B8,Tungiasis [sandflea infestation]
B8,Other arthropod infestations
B8,External hirudiniasis
B8,Other specified infestations
B8,"Infestation, unspecified"
B8,Unspecified parasitic disease
B9,Sequelae of central nervous system tuberculosis
B9,Sequelae of genitourinary tuberculosis
B9,Sequelae of tuberculosis of bones and joints
B9,Sequelae of tuberculosis of other organs
B9,Sequelae of respiratory and unspecified tuberculosis
B9,Sequelae of poliomyelitis
B9,Sequelae of leprosy
B9,Sequelae of trachoma
B9,Sequelae of viral encephalitis
B9,Sequelae of viral hepatitis
B9,Sequelae of other specified infectious and parasitic diseases
B9,Sequelae of unspecified infectious or parasitic disease
B9,"Streptococcus, group A, as the cause of diseases classified to other chapters"
B9,"Streptococcus, group B, as the cause of diseases classified to other chapters"
B9,Streptococcus group D and enterococcus as the cause of diseases classified to other chapters
B9,Streptococcus pneumoniae as the cause of diseases classified to other chapters
B9,Other streptococcus as the cause of diseases classified to other chapters
B9,Unspecified streptococcus as the cause of diseases classified to other chapters
B9,Staphylococcus aureus as the cause of diseases classified to other chapters
B9,Other staphylococcus as the cause of diseases classified to other chapters
B9,Unspecified staphylococcus as the cause of diseases classified to other chapters
B9,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters
B9,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters
B9,Escherichia coli [E. coli] as the cause of diseases classified to other chapters
B9,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters
B9,Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters
B9,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters
