code,desc
A15,"Tuberculosis of lung, confirmed by culture only"
A15,"Tuberculosis of lung, confirmed histologically"
A15,"Tuberculosis of lung, confirmed by unspecified means"
A15,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
A15,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
A15,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
A15,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
A15,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
A15,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
A16,"Tuberculosis of lung, bacteriologically and histologically negative"
A16,"Tuberculosis of lung, bacteriological and histological examination not done"
A16,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
A16,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
A16,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A16,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A16,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A16,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A16,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A17,Tuberculous meningitis
A17,Meningeal tuberculoma
A17,Other tuberculosis of nervous system
A17,"Tuberculosis of nervous system, unspecified"
A18,Tuberculosis of bones and joints
A18,Tuberculosis of genitourinary system
A18,Tuberculous peripheral lymphadenopathy
A18,"Tuberculosis of intestines, peritoneum and mesenteric glands"
A18,Tuberculosis of skin and subcutaneous tissue
A18,Tuberculosis of eye
A18,Tuberculosis of ear
A18,Tuberculosis of adrenal glands
A18,Tuberculosis of other specified organs
A19,Acute miliary tuberculosis of a single specified site
A19,Acute miliary tuberculosis of multiple sites
A19,"Acute miliary tuberculosis, unspecified"
A19,Other miliary tuberculosis
A19,"Miliary tuberculosis, unspecified"
A20,Bubonic plague
A20,Cellulocutaneous plague
A20,Pneumonic plague
A20,Plague meningitis
A20,Septicaemic plague
A20,Other forms of plague
A20,"Plague, unspecified"
A21,Ulceroglandular tularaemia
A21,Oculoglandular tularaemia
A21,Pulmonary tularaemia
A21,Gastrointestinal tularaemia
A21,Generalized tularaemia
A21,Other forms of tularaemia
A21,"Tularaemia, unspecified"
A22,Cutaneous anthrax
A22,Pulmonary anthrax
A22,Gastrointestinal anthrax
A22,Anthrax sepsis
A22,Other forms of anthrax
A22,"Anthrax, unspecified"
A23,Brucellosis due to Brucella melitensis
A23,Brucellosis due to Brucella abortus
A23,Brucellosis due to Brucella suis
A23,Brucellosis due to Brucella canis
A23,Other brucellosis
A23,"Brucellosis, unspecified"
A24,Glanders
A24,Acute and fulminating melioidosis
A24,Subacute and chronic melioidosis
A24,Other melioidosis
A24,"Melioidosis, unspecified"
A25,Spirillosis
A25,Streptobacillosis
A25,"Rat-bite fever, unspecified"
A26,Cutaneous erysipeloid
A26,Erysipelothrix sepsis
A26,Other forms of erysipeloid
A26,"Erysipeloid, unspecified"
A27,Leptospirosis icterohaemorrhagica
A27,Other forms of leptospirosis
A27,"Leptospirosis, unspecified"
A28,Pasteurellosis
A28,Cat-scratch disease
A28,Extraintestinal yersiniosis
A28,"Other specified zoonotic bacterial diseases, not elsewhere classified"
A28,"Zoonotic bacterial disease, unspecified"
A30,Indeterminate leprosy
A30,Tuberculoid leprosy
A30,Borderline tuberculoid leprosy
A30,Borderline leprosy
A30,Borderline lepromatous leprosy
A30,Lepromatous leprosy
A30,Other forms of leprosy
A30,"Leprosy, unspecified"
A31,Pulmonary mycobacterial infection
A31,Cutaneous mycobacterial infection
A31,Other mycobacterial infections
A31,"Mycobacterial infection, unspecified"
A32,Cutaneous listeriosis
A32,Listerial meningitis and meningoencephalitis
A32,Listerial sepsis
A32,Other forms of listeriosis
A32,"Listeriosis, unspecified"
A33,Tetanus neonatorum
A34,Obstetrical tetanus
A35,Other tetanus
A36,Pharyngeal diphtheria
A36,Nasopharyngeal diphtheria
A36,Laryngeal diphtheria
A36,Cutaneous diphtheria
A36,Other diphtheria
A36,"Diphtheria, unspecified"
A37,Whooping cough due to Bordetella pertussis
A37,Whooping cough due to Bordetella parapertussis
A37,Whooping cough due to other Bordetella species
A37,"Whooping cough, unspecified"
A38,Scarlet fever
A39,Meningococcal meningitis
A39,Waterhouse-Friderichsen syndrome
A39,Acute meningococcaemia
A39,Chronic meningococcaemia
A39,"Meningococcaemia, unspecified"
A39,Meningococcal heart disease
A39,Other meningococcal infections
A39,"Meningococcal infection, unspecified"
A40,"Sepsis due to streptococcus, group A"
A40,"Sepsis due to streptococcus, group B"
A40,"Sepsis due to streptococcus, group D"
A40,Sepsis due to Streptococcus pneumoniae
A40,Other streptococcal sepsis
A40,"Streptococcal sepsis, unspecified"
A41,Sepsis due to Staphylococcus aureus
A41,Sepsis due to other specified staphylococcus
A41,Sepsis due to unspecified staphylococcus
A41,Sepsis due to Haemophilus influenzae
A41,Sepsis due to anaerobes
A41,Sepsis due to other Gram-negative organisms
A41,Other specified sepsis
A41,"Sepsis, unspecified"
A42,Pulmonary actinomycosis
A42,Abdominal actinomycosis
A42,Cervicofacial actinomycosis
A42,Actinomycotic sepsis
A42,Other forms of actinomycosis
A42,"Actinomycosis, unspecified"
A43,Pulmonary nocardiosis
A43,Cutaneous nocardiosis
A43,Other forms of nocardiosis
A43,"Nocardiosis, unspecified"
A44,Systemic bartonellosis
A44,Cutaneous and mucocutaneous bartonellosis
A44,Other forms of bartonellosis
A44,"Bartonellosis, unspecified"
A46,Erysipelas
A48,Gas gangrene
A48,Legionnaires disease
A48,Nonpneumonic Legionnaires disease [Pontiac fever]
A48,Toxic shock syndrome
A48,Brazilian purpuric fever
A48,Other specified bacterial diseases
A49,"Staphylococcal infection, unspecified site"
A49,"Streptococcal and enterococcal infection, unspecified site"
A49,"Haemophilus influenzae infection, unspecified site"
A49,"Mycoplasma infection, unspecified site"
A49,Other bacterial infections of unspecified site
A49,"Bacterial infection, unspecified"
A50,"Early congenital syphilis, symptomatic"
A50,"Early congenital syphilis, latent"
A50,"Early congenital syphilis, unspecified"
A50,Late congenital syphilitic oculopathy
A50,Late congenital neurosyphilis [juvenile neurosyphilis]
A50,"Other late congenital syphilis, symptomatic"
A50,"Late congenital syphilis, latent"
A50,"Late congenital syphilis, unspecified"
A50,"Congenital syphilis, unspecified"
A51,Primary genital syphilis
A51,Primary anal syphilis
A51,Primary syphilis of other sites
A51,Secondary syphilis of skin and mucous membranes
A51,Other secondary syphilis
A51,"Early syphilis, latent"
A51,"Early syphilis, unspecified"
A52,Cardiovascular syphilis
A52,Symptomatic neurosyphilis
A52,Asymptomatic neurosyphilis
A52,"Neurosyphilis, unspecified"
A52,Other symptomatic late syphilis
A52,"Late syphilis, latent"
A52,"Late syphilis, unspecified"
A53,"Latent syphilis, unspecified as early or late"
A53,"Syphilis, unspecified"
A54,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess
A54,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess
A54,Gonococcal pelviperitonitis and other gonococcal genitourinary infections
A54,Gonococcal infection of eye
A54,Gonococcal infection of musculoskeletal system
A54,Gonococcal pharyngitis
A54,Gonococcal infection of anus and rectum
A54,Other gonococcal infections
A54,"Gonococcal infection, unspecified"
A55,Chlamydial lymphogranuloma (venereum)
A56,Chlamydial infection of lower genitourinary tract
A56,Chlamydial infection of pelviperitoneum and other genitourinary organs
A56,"Chlamydial infection of genitourinary tract, unspecified"
A56,Chlamydial infection of anus and rectum
A56,Chlamydial infection of pharynx
A56,Sexually transmitted chlamydial infection of other sites
A57,Chancroid
A58,Granuloma inguinale
A59,Urogenital trichomoniasis
A59,Trichomoniasis of other sites
A59,"Trichomoniasis, unspecified"
A60,Herpesviral infection of genitalia and urogenital tract
A60,Herpesviral infection of perianal skin and rectum
A60,"Anogenital herpesviral infection, unspecified"
A63,Anogenital (venereal) warts
A63,Other specified predominantly sexually transmitted diseases
A64,Unspecified sexually transmitted disease
A65,Nonvenereal syphilis
A66,Initial lesions of yaws
A66,Multiple papillomata and wet crab yaws
A66,Other early skin lesions of yaws
A66,Hyperkeratosis of yaws
A66,Gummata and ulcers of yaws
A66,Gangosa
A66,Bone and joint lesions of yaws
A66,Other manifestations of yaws
A66,Latent yaws
A66,"Yaws, unspecified"
A67,Primary lesions of pinta
A67,Intermediate lesions of pinta
A67,Late lesions of pinta
A67,Mixed lesions of pinta
A67,"Pinta, unspecified"
A68,Louse-borne relapsing fever
A68,Tick-borne relapsing fever
A68,"Relapsing fever, unspecified"
A69,Necrotizing ulcerative stomatitis
A69,Other Vincent infections
A69,Lyme disease
A69,Other specified spirochaetal infections
A69,"Spirochaetal infection, unspecified"
A70,Chlamydia psittaci infection
A71,Initial stage of trachoma
A71,Active stage of trachoma
A71,"Trachoma, unspecified"
A74,Chlamydial conjunctivitis
A74,Other chlamydial diseases
A74,"Chlamydial infection, unspecified"
A75,Epidemic louse-borne typhus fever due to Rickettsia prowazekii
A75,Recrudescent typhus [Brill disease]
A75,Typhus fever due to Rickettsia typhi
A75,Typhus fever due to Rickettsia tsutsugamushi
A75,"Typhus fever, unspecified"
A77,Spotted fever due to Rickettsia rickettsii
A77,Spotted fever due to Rickettsia conorii
A77,Spotted fever due to Rickettsia sibirica
A77,Spotted fever due to Rickettsia australis
A77,Other spotted fevers
A77,"Spotted fever, unspecified"
A78,Q fever
A79,Trench fever
A79,Rickettsialpox due to Rickettsia akari
A79,Other specified rickettsioses
A79,"Rickettsiosis, unspecified"
A80,"Acute paralytic poliomyelitis, vaccine-associated"
A80,"Acute paralytic poliomyelitis, wild virus, imported"
A80,"Acute paralytic poliomyelitis, wild virus, indigenous"
A80,"Acute paralytic poliomyelitis, other and unspecified"
A80,Acute nonparalytic poliomyelitis
A80,"Acute poliomyelitis, unspecified"
A81,Creutzfeldt-Jakob disease
A81,Subacute sclerosing panencephalitis
A81,Progressive multifocal leukoencephalopathy
A81,Other atypical virus infections of central nervous system
A81,"Atypical virus infection of central nervous system, unspecified"
A82,Sylvatic rabies
A82,Urban rabies
A82,"Rabies, unspecified"
A83,Japanese encephalitis
A83,Western equine encephalitis
A83,Eastern equine encephalitis
A83,St Louis encephalitis
A83,Australian encephalitis
A83,California encephalitis
A83,Rocio virus disease
A83,Other mosquito-borne viral encephalitis
A83,"Mosquito-borne viral encephalitis, unspecified"
A84,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]
A84,Central European tick-borne encephalitis
A84,Other tick-borne viral encephalitis
A84,"Tick-borne viral encephalitis, unspecified"
A85,Enteroviral encephalitis
A85,Adenoviral encephalitis
A85,"Arthropod-borne viral encephalitis, unspecified"
A85,Other specified viral encephalitis
A86,Unspecified viral encephalitis
A87,Enteroviral meningitis
A87,Adenoviral meningitis
A87,Lymphocytic choriomeningitis
A87,Other viral meningitis
A87,"Viral meningitis, unspecified"
A88,Enteroviral exanthematous fever [Boston exanthem]
A88,Epidemic vertigo
A88,Other specified viral infections of central nervous system
A89,Unspecified viral infection of central nervous system
A92,Chikungunya virus disease
A92,O'nyong-nyong fever
A92,Venezuelan equine fever
A92,West Nile virus infection
A92,Rift Valley fever
A92,Other specified mosquito-borne viral fevers
A92,"Mosquito-borne viral fever, unspecified"
A93,Oropouche virus disease
A93,Sandfly fever
A93,Colorado tick fever
A93,Other specified arthropod-borne viral fevers
A94,Unspecified arthropod-borne viral fever
A95,Sylvatic yellow fever
A95,Urban yellow fever
A95,"Yellow fever, unspecified"
A96,Junin haemorrhagic fever
A96,Machupo haemorrhagic fever
A96,Lassa fever
A96,Other arenaviral haemorrhagic fevers
A96,"Arenaviral haemorrhagic fever, unspecified"
A97,Dengue without warning signs
A97,Dengue with warning signs
A97,Severe Dengue
A97,"Dengue, unspecified"
A98,Crimean-Congo haemorrhagic fever
A98,Omsk haemorrhagic fever
A98,Kyasanur Forest disease
A98,Marburg virus disease
A98,Ebola virus disease
A98,Haemorrhagic fever with renal syndrome
A98,Other specified viral haemorrhagic fevers
A99,Unspecified viral haemorrhagic fever
B00,Eczema herpeticum
B00,Herpesviral vesicular dermatitis
B00,Herpesviral gingivostomatitis and pharyngotonsillitis
B00,Herpesviral meningitis
B00,Herpesviral encephalitis
B00,Herpesviral ocular disease
B00,Disseminated herpesviral disease
B00,Other forms of herpesviral infection
B00,"Herpesviral infection, unspecified"
B01,Varicella meningitis
B01,Varicella encephalitis
B01,Varicella pneumonia
B01,Varicella with other complications
B01,Varicella without complication
B02,Zoster encephalitis
B02,Zoster meningitis
B02,Zoster with other nervous system involvement
B02,Zoster ocular disease
B02,Disseminated zoster
B02,Zoster with other complications
B02,Zoster without complication
B03,Smallpox
B04,Monkeypox
B05,Measles complicated by encephalitis
B05,Measles complicated by meningitis
B05,Measles complicated by pneumonia
B05,Measles complicated by otitis media
B05,Measles with intestinal complications
B05,Measles with other complications
B05,Measles without complication
B06,Rubella with neurological complications
B06,Rubella with other complications
B06,Rubella without complication
B07,Viral warts
B08,Other orthopoxvirus infections
B08,Molluscum contagiosum
B08,Exanthema subitum [sixth disease]
B08,Erythema infectiosum [fifth disease]
B08,Enteroviral vesicular stomatitis with exanthem
B08,Enteroviral vesicular pharyngitis
B08,Other specified viral infections characterized by skin and mucous membrane lesions
B09,Unspecified viral infection characterized by skin and mucous membrane lesions
B15,Hepatitis A with hepatic coma
B15,Hepatitis A without hepatic coma
B16,Acute hepatitis B with delta-agent (coinfection) with hepatic coma
B16,Acute hepatitis B with delta-agent (coinfection) without hepatic coma
B16,Acute hepatitis B without delta-agent with hepatic coma
B16,Acute hepatitis B without delta-agent and without hepatic coma
B17,Acute delta-(super)infection of hepatitis B carrier
B17,Acute hepatitis C
B17,Acute hepatitis E
B17,Other specified acute viral hepatitis
B17,"Acute viral hepatitis, unspecified"
B18,Chronic viral hepatitis B with delta-agent
B18,Chronic viral hepatitis B without delta-agent
B18,Chronic viral hepatitis C
B18,Other chronic viral hepatitis
B18,"Chronic viral hepatitis, unspecified"
B19,Unspecified viral hepatitis with hepatic coma
B19,Unspecified viral hepatitis without hepatic coma
B20,HIV disease resulting in mycobacterial infection
B20,HIV disease resulting in other bacterial infections
B20,HIV disease resulting in cytomegaloviral disease
B20,HIV disease resulting in other viral infections
B20,HIV disease resulting in candidiasis
B20,HIV disease resulting in other mycoses
B20,HIV disease resulting in Pneumocystis jirovecii pneumonia
B20,HIV disease resulting in multiple infections
B20,HIV disease resulting in other infectious and parasitic diseases
B20,HIV disease resulting in unspecified infectious or parasitic disease
B21,HIV disease resulting in Kaposi sarcoma
B21,HIV disease resulting in Burkitt lymphoma
B21,HIV disease resulting in other types of non-Hodgkin lymphoma
B21,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
B21,HIV disease resulting in multiple malignant neoplasms
B21,HIV disease resulting in other malignant neoplasms
B21,HIV disease resulting in unspecified malignant neoplasm
B22,HIV disease resulting in encephalopathy
B22,HIV disease resulting in lymphoid interstitial pneumonitis
B22,HIV disease resulting in wasting syndrome
B22,HIV disease resulting in multiple diseases classified elsewhere
B23,Acute HIV infection syndrome
B23,HIV disease resulting in (persistent) generalized lymphadenopathy
B23,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
B23,HIV disease resulting in other specified conditions
B24,Unspecified human immunodeficiency virus [HIV] disease
B25,Cytomegaloviral pneumonitis
B25,Cytomegaloviral hepatitis
B25,Cytomegaloviral pancreatitis
B25,Other cytomegaloviral diseases
B25,"Cytomegaloviral disease, unspecified"
B26,Mumps orchitis
B26,Mumps meningitis
B26,Mumps encephalitis
B26,Mumps pancreatitis
B26,Mumps with other complications
B26,Mumps without complication
B27,Gammaherpesviral mononucleosis
B27,Cytomegaloviral mononucleosis
B27,Other infectious mononucleosis
B27,"Infectious mononucleosis, unspecified"
B30,Keratoconjunctivitis due to adenovirus
B30,Conjunctivitis due to adenovirus
B30,Viral pharyngoconjunctivitis
B30,Acute epidemic haemorrhagic conjunctivitis (enteroviral)
B30,Other viral conjunctivitis
B30,"Viral conjunctivitis, unspecified"
B33,Epidemic myalgia
B33,Ross River disease
B33,Viral carditis
B33,"Retrovirus infections, not elsewhere classified"
B33,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]
B33,Other specified viral diseases
B34,"Adenovirus infection, unspecified site"
B34,"Enterovirus infection, unspecified site"
B34,"Coronavirus infection, unspecified site"
B34,"Parvovirus infection, unspecified site"
B34,"Papovavirus infection, unspecified site"
B34,Other viral infections of unspecified site
B34,"Viral infection, unspecified"
B35,Tinea barbae and tinea capitis
B35,Tinea unguium
B35,Tinea manuum
B35,Tinea pedis
B35,Tinea corporis
B35,Tinea imbricata
B35,Tinea inguinalis [Tinea cruris]
B35,Other dermatophytoses
B35,"Dermatophytosis, unspecified"
B36,Pityriasis versicolor
B36,Tinea nigra
B36,White piedra
B36,Black piedra
B36,Other specified superficial mycoses
B36,"Superficial mycosis, unspecified"
B37,Candidal stomatitis
B37,Pulmonary candidiasis
B37,Candidiasis of skin and nail
B37,Candidiasis of vulva and vagina
B37,Candidiasis of other urogenital sites
B37,Candidal meningitis
B37,Candidal endocarditis
B37,Candidal sepsis
B37,Candidiasis of other sites
B37,"Candidiasis, unspecified"
B38,Acute pulmonary coccidioidomycosis
B38,Chronic pulmonary coccidioidomycosis
B38,"Pulmonary coccidioidomycosis, unspecified"
B38,Cutaneous coccidioidomycosis
B38,Coccidioidomycosis meningitis
B38,Disseminated coccidioidomycosis
B38,Other forms of coccidioidomycosis
B38,"Coccidioidomycosis, unspecified"
B39,Acute pulmonary histoplasmosis capsulati
B39,Chronic pulmonary histoplasmosis capsulati
B39,"Pulmonary histoplasmosis capsulati, unspecified"
B39,Disseminated histoplasmosis capsulati
B39,"Histoplasmosis capsulati, unspecified"
B39,Histoplasmosis duboisii
B39,"Histoplasmosis, unspecified"
B40,Acute pulmonary blastomycosis
B40,Chronic pulmonary blastomycosis
B40,"Pulmonary blastomycosis, unspecified"
B40,Cutaneous blastomycosis
B40,Disseminated blastomycosis
B40,Other forms of blastomycosis
B40,"Blastomycosis, unspecified"
B41,Pulmonary paracoccidioidomycosis
B41,Disseminated paracoccidioidomycosis
B41,Other forms of paracoccidioidomycosis
B41,"Paracoccidioidomycosis, unspecified"
B42,Pulmonary sporotrichosis
B42,Lymphocutaneous sporotrichosis
B42,Disseminated sporotrichosis
B42,Other forms of sporotrichosis
B42,"Sporotrichosis, unspecified"
B43,Cutaneous chromomycosis
B43,Phaeomycotic brain abscess
B43,Subcutaneous phaeomycotic abscess and cyst
B43,Other forms of chromomycosis
B43,"Chromomycosis, unspecified"
B44,Invasive pulmonary aspergillosis
B44,Other pulmonary aspergillosis
B44,Tonsillar aspergillosis
B44,Disseminated aspergillosis
B44,Other forms of aspergillosis
B44,"Aspergillosis, unspecified"
B45,Pulmonary cryptococcosis
B45,Cerebral cryptococcosis
B45,Cutaneous cryptococcosis
B45,Osseous cryptococcosis
B45,Disseminated cryptococcosis
B45,Other forms of cryptococcosis
B45,"Cryptococcosis, unspecified"
B46,Pulmonary mucormycosis
B46,Rhinocerebral mucormycosis
B46,Gastrointestinal mucormycosis
B46,Cutaneous mucormycosis
B46,Disseminated mucormycosis
B46,"Mucormycosis, unspecified"
B46,Other zygomycoses
B46,"Zygomycosis, unspecified"
B47,Eumycetoma
B47,Actinomycetoma
B47,"Mycetoma, unspecified"
B48,Lobomycosis
B48,Rhinosporidiosis
B48,Allescheriasis
B48,Geotrichosis
B48,Penicillosis
B48,Opportunistic mycoses
B48,Other specified mycoses
B49,Unspecified mycosis
B50,Plasmodium falciparum malaria with cerebral complications
B50,Other severe and complicated Plasmodium falciparum malaria
B50,"Plasmodium falciparum malaria, unspecified"
B51,Plasmodium vivax malaria with rupture of spleen
B51,Plasmodium vivax malaria with other complications
B51,Plasmodium vivax malaria without complication
B52,Plasmodium malariae malaria with nephropathy
B52,Plasmodium malariae malaria with other complications
B52,Plasmodium malariae malaria without complication
B53,Plasmodium ovale malaria
B53,Malaria due to simian plasmodia
B53,"Other parasitologically confirmed malaria, not elsewhere classified"
B54,Unspecified malaria
B55,Visceral leishmaniasis
B55,Cutaneous leishmaniasis
B55,Mucocutaneous leishmaniasis
B55,"Leishmaniasis, unspecified"
B56,Gambiense trypanosomiasis
B56,Rhodesiense trypanosomiasis
B56,"African trypanosomiasis, unspecified"
B57,Acute Chagas disease with heart involvement
B57,Acute Chagas disease without heart involvement
B57,Chagas disease (chronic) with heart involvement
B57,Chagas disease (chronic) with digestive system involvement
B57,Chagas disease (chronic) with nervous system involvement
B57,Chagas disease (chronic) with other organ involvement
B58,Toxoplasma oculopathy
B58,Toxoplasma hepatitis
B58,Toxoplasma meningoencephalitis
B58,Pulmonary toxoplasmosis
B58,Toxoplasmosis with other organ involvement
B58,"Toxoplasmosis, unspecified"
B59,Pneumocystosis
B60,Babesiosis
B60,Acanthamoebiasis
B60,Naegleriasis
B60,Other specified protozoal diseases
B64,Unspecified protozoal disease
B65,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis]
B65,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis]
B65,Schistosomiasis due to Schistosoma japonicum
B65,Cercarial dermatitis
B65,Other schistosomiases
B65,"Schistosomiasis, unspecified"
B66,Opisthorchiasis
B66,Clonorchiasis
B66,Dicrocoeliasis
B66,Fascioliasis
B66,Paragonimiasis
B66,Fasciolopsiasis
B66,Other specified fluke infections
B66,"Fluke infection, unspecified"
B67,Echinococcus granulosus infection of liver
B67,Echinococcus granulosus infection of lung
B67,Echinococcus granulosus infection of bone
B67,"Echinococcus granulosus infection, other and multiple sites"
B67,"Echinococcus granulosus infection, unspecified"
B67,Echinococcus multilocularis infection of liver
B67,"Echinococcus multilocularis infection, other and multiple sites"
B67,"Echinococcus multilocularis infection, unspecified"
B67,"Echinococcosis, unspecified, of liver"
B67,"Echinococcosis, other and unspecified"
B68,Taenia solium taeniasis
B68,Taenia saginata taeniasis
B68,"Taeniasis, unspecified"
B69,Cysticercosis of central nervous system
B69,Cysticercosis of eye
B69,Cysticercosis of other sites
B69,"Cysticercosis, unspecified"
B70,Diphyllobothriasis
B70,Sparganosis
B71,Hymenolepiasis
B71,Dipylidiasis
B71,Other specified cestode infections
B71,"Cestode infection, unspecified"
B72,Dracunculiasis
B73,Onchocerciasis
B74,Filariasis due to Wuchereria bancrofti
B74,Filariasis due to Brugia malayi
B74,Filariasis due to Brugia timori
B74,Loiasis
B74,Mansonelliasis
B74,Other filariases
B74,"Filariasis, unspecified"
B75,Trichinellosis
B76,Ancylostomiasis
B76,Necatoriasis
B76,Other hookworm diseases
B76,"Hookworm disease, unspecified"
B77,Ascariasis with intestinal complications
B77,Ascariasis with other complications
B77,"Ascariasis, unspecified"
B78,Intestinal strongyloidiasis
B78,Cutaneous strongyloidiasis
B78,Disseminated strongyloidiasis
B78,"Strongyloidiasis, unspecified"
B79,Trichuriasis
B80,Enterobiasis
B81,Anisakiasis
B81,Intestinal capillariasis
B81,Trichostrongyliasis
B81,Intestinal angiostrongyliasis
B81,Mixed intestinal helminthiases
B81,Other specified intestinal helminthiases
B82,"Intestinal helminthiasis, unspecified"
B82,"Intestinal parasitism, unspecified"
B83,Visceral larva migrans
B83,Gnathostomiasis
B83,Angiostrongyliasis due to Parastrongylus cantonensis
B83,Syngamiasis
B83,Internal hirudiniasis
B83,Other specified helminthiases
B83,"Helminthiasis, unspecified"
B85,Pediculosis due to Pediculus humanus capitis
B85,Pediculosis due to Pediculus humanus corporis
B85,"Pediculosis, unspecified"
B85,Phthiriasis
B85,Mixed pediculosis and phthiriasis
B86,Scabies
B87,Cutaneous myiasis
B87,Wound myiasis
B87,Ocular myiasis
B87,Nasopharyngeal myiasis
B87,Aural myiasis
B87,Myiasis of other sites
B87,"Myiasis, unspecified"
B88,Other acariasis
B88,Tungiasis [sandflea infestation]
B88,Other arthropod infestations
B88,External hirudiniasis
B88,Other specified infestations
B88,"Infestation, unspecified"
B89,Unspecified parasitic disease
B90,Sequelae of central nervous system tuberculosis
B90,Sequelae of genitourinary tuberculosis
B90,Sequelae of tuberculosis of bones and joints
B90,Sequelae of tuberculosis of other organs
B90,Sequelae of respiratory and unspecified tuberculosis
B91,Sequelae of poliomyelitis
B92,Sequelae of leprosy
B94,Sequelae of trachoma
B94,Sequelae of viral encephalitis
B94,Sequelae of viral hepatitis
B94,Sequelae of other specified infectious and parasitic diseases
B94,Sequelae of unspecified infectious or parasitic disease
B95,"Streptococcus, group A, as the cause of diseases classified to other chapters"
B95,"Streptococcus, group B, as the cause of diseases classified to other chapters"
B95,Streptococcus group D and enterococcus as the cause of diseases classified to other chapters
B95,Streptococcus pneumoniae as the cause of diseases classified to other chapters
B95,Other streptococcus as the cause of diseases classified to other chapters
B95,Unspecified streptococcus as the cause of diseases classified to other chapters
B95,Staphylococcus aureus as the cause of diseases classified to other chapters
B95,Other staphylococcus as the cause of diseases classified to other chapters
B95,Unspecified staphylococcus as the cause of diseases classified to other chapters
B96,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters
B96,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters
B96,Escherichia coli [E. coli] as the cause of diseases classified to other chapters
B96,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters
B96,Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters
B96,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters
